SSB,Nợ dưới tiêu chuẩn	224,181,000	241,173,000	345,515,000	541,268,000
SSB,Nợ nghi ngờ	380,316,000	264,334,000	331,680,000	404,458,000
SSB,Nợ có khả năng mất vốn	1,359,455,000	1,391,171,000	1,427,414,000	1,447,113,000
STB,Nợ đủ tiêu chuẩn	354,605,660,000	349,062,555,000	380,602,069,000	406,026,948,000
STB,Nợ cần chú ý	894,613,000	1,809,496,000	1,606,387,000	1,701,702,000
STB,Nợ dưới tiêu chuẩn	747,944,000	400,553,000	564,110,000	318,797,000
STB,Nợ nghi ngờ	431,111,000	914,520,000	676,636,000	677,263,000
STB,Nợ có khả năng mất vốn	4,429,965,000	4,253,179,000	4,480,394,000	4,303,112,000
TCB,Nợ đủ tiêu chuẩn	310,264,082,000	316,214,463,000	342,902,534,000	361,122,209,000
TCB,Nợ cần chú ý	2,131,440,000	2,998,580,000	2,144,836,000	2,178,609,000
TCB,Nợ dưới tiêu chuẩn	397,750,000	727,250,000	678,516,000	510,052,000
TCB,Nợ nghi ngờ	505,868,000	658,816,000	860,243,000	1,120,846,000
TCB,Nợ có khả năng mất vốn	214,851,000	442,907,000	755,115,000	810,920,000
TPB,Nợ đủ tiêu chuẩn	120,732,580,000	128,746,662,000	128,221,839,000	137,993,967,000
TPB,Nợ cần chú ý	2,170,888,000	1,937,620,000	3,402,616,000	2,077,054,000
TPB,Nợ dưới tiêu chuẩn	622,860,000	871,072,000	729,366,000	510,516,000
TPB,Nợ nghi ngờ	399,848,000	347,907,000	346,116,000	348,890,000
TPB,Nợ có khả năng mất vốn	460,800,000	300,270,000	302,102,000	297,430,000
VCB,Nợ đủ tiêu chuẩn	909,451,426,000	919,181,097,000	951,130,995,000	1,015,997,915,000
VCB,Nợ cần chú ý	5,632,069,000	6,277,931,000	3,497,833,000	4,529,344,000
VCB,Nợ dưới tiêu chuẩn	917,672,000	1,483,172,000	743,995,000	1,459,318,000
VCB,Nợ nghi ngờ	757,478,000	3,121,977,000	965,987,000	1,692,859,000
VCB,Nợ có khả năng mất vốn	5,189,792,000	6,278,791,000	4,411,145,000	5,220,308,000
VPB,Nợ đủ tiêu chuẩn	283,049,071,000	280,091,561,000	323,096,674,000	338,024,077,000
VPB,Nợ cần chú ý	17,002,447,000	24,497,280,000	16,297,580,000	18,339,084,000
VPB,Nợ dưới tiêu chuẩn	7,898,613,000	7,219,953,000	6,381,237,000	6,339,355,000
VPB,Nợ nghi ngờ	1,788,617,000	4,381,321,000	8,446,252,000	9,795,313,000
VPB,Nợ có khả năng mất vốn	1,113,775,000	1,100,533,000	1,059,476,000	1,959,229,000
